line_number,speaker,sentence,politifact_statement,verified_claim,verified_claim_article_title,truth_value,verified_claim_url,notes
64,TRUMP,"Because they're using our country as a piggy bank to rebuild China, and many other countries are doing the same thing.","Trump ""They're using our country as a piggy bank to rebuild China.""",Weve rebuilt China.,Donald Trump says China's economic growth is thanks to the United States,Half-True,https://www.politifact.com/truth-o-meter/statements/2016/apr/04/donald-trump/donald-trump-says-chinas-economic-growth-thanks-un/,
98,CLINTON,"In fact, it would be the most extreme version, the biggest tax cuts for the top percent of the people in this country than we've ever had.","Clinton Trumps tax plan would deliver ""the biggest tax cuts for the top percent of the people in this country.""","Under Donald Trump's tax plan, ""the top 0.1 percent of taxpayers -- people earning multiple millions of dollars a year, on average -- would get more tax relief than the bottom 60 percent of taxpayers combined.""","Top 0.1 would be big winner under Donald Trump's tax plan, Wisconsin Hillary Clinton supporter says  PolitiFact Wisconsin",TRUE,https://www.politifact.com/wisconsin/statements/2016/may/20/jennifer-shilling/top-01-would-be-big-winner-under-donald-trumps-tax/,
165,CLINTON,"In fact, Donald was one of the people who rooted for the housing crisis.","Clinton ""In fact, Donald was one of the people who rooted for the housing crisis. He said, back in 2006, Gee, I hope it does collapse, because then I can go in and buy some and make some money. Well, it did collapse.""","Says Donald Trump ""was one of the people who rooted for the housing crisis. He said back in 2006, Gee, I hope it does collapse because then I can go in and buy some and make some money. """,Hillary Clinton says Donald Trump rooted for the housing crisis,Mostly True,https://www.politifact.com/truth-o-meter/statements/2016/sep/26/hillary-clinton/hillary-clinton-says-donald-trump-rooted-housing-c/,
166,CLINTON,"He said, back in 2006, ""Gee, I hope it does collapse, because then I can go in and buy some and make some money.""","Clinton ""In fact, Donald was one of the people who rooted for the housing crisis. He said, back in 2006, Gee, I hope it does collapse, because then I can go in and buy some and make some money. Well, it did collapse.""","Says Donald Trump ""was one of the people who rooted for the housing crisis. He said back in 2006, Gee, I hope it does collapse because then I can go in and buy some and make some money. """,Hillary Clinton says Donald Trump rooted for the housing crisis,Mostly True,https://www.politifact.com/truth-o-meter/statements/2016/sep/26/hillary-clinton/hillary-clinton-says-donald-trump-rooted-housing-c/,
175,CLINTON,"Independent experts have looked at what I've proposed and looked at what Donald's proposed, and basically they've said this, that if his tax plan, which would blow up the debt by over $5 trillion and would in some instances disadvantage middle-class families compared to the wealthy, were to go into effect, we would lose 3.5 million jobs and maybe have another recession.","Clinton ""Independent experts have looked at what I've proposed and looked at what Donald's proposed, and basically they've said this, that if his tax plan, which would blow up the debt by over 5 trillion.""","According to ""independent experts,"" Donald Trump's tax plan ""would blow up the debt by over 5 trillion and would in some instances disadvantage middle-class families compared to the wealthy.""",Hillary Clinton correctly cites outside analyses of Trump's tax plan,TRUE,http://politifact.com/truth-o-meter/statements/2016/sep/27/hillary-clinton/hillary-clinton-correctly-cites-outside-analyses-t/,
179,CLINTON,Donald thinks that climate change is a hoax perpetrated by the Chinese.,"Trump ""I did not"" say that climate change is a hoax perpetrated by the Chinese.",I did not  I did not  I do not say that. I do not say that climate change is a hoax perpetrated by the Chinese.,"At New York debate, Donald Trump denies saying climate change is a Chinese hoax",Mostly False,https://www.politifact.com/truth-o-meter/statements/2016/sep/26/donald-trump/donald-trump-denies-saying-global-warming-chinese-/,
183,TRUMP,I do not say that.,"Trump ""I did not"" say that climate change is a hoax perpetrated by the Chinese.",I did not  I did not  I do not say that. I do not say that climate change is a hoax perpetrated by the Chinese.,"At New York debate, Donald Trump denies saying climate change is a Chinese hoax",Mostly False,https://www.politifact.com/truth-o-meter/statements/2016/sep/26/donald-trump/donald-trump-denies-saying-global-warming-chinese-/,
202,TRUMP,"The Obama administration, from the time they've come in, is over 230 years' worth of debt, and he's topped it.","Trump The Obama administration ""has doubled"" the national debt in eight years.","Barack Obama has ""doubled our national debt. Doubled it. It's going to be close to 20 trillion when he leaves.""",Trump solely blames Obama for doubling of debt  PolitiFact Virgin,Half-True,https://www.politifact.com/virginia/statements/2016/sep/12/donald-trump/trump-solely-blames-obama-doubling-debt/,
203,TRUMP,"He's doubled it in a course of almost eight years, seven-and-a-half years, to be semi- exact.","Trump The Obama administration ""has doubled"" the national debt in eight years.","Barack Obama has ""doubled our national debt. Doubled it. It's going to be close to 20 trillion when he leaves.""",Trump solely blames Obama for doubling of debt  PolitiFact Virgin,Half-True,https://www.politifact.com/virginia/statements/2016/sep/12/donald-trump/trump-solely-blames-obama-doubling-debt/,
232,CLINTON,"The biggest one, a multinational one known as CAFTA, I voted against.","Clinton ""I voted for"" some trade deals. ""The biggest one, a multinational one known as CAFTA, I voted against.""","Says Hillary Clinton voted ""for virtually every trade agreement that has cost the workers of this country millions of jobs.""","Clinton voted for 'virtually every' trade agreement, killing millions of jobs, Sanders says",Half-True,https://www.politifact.com/truth-o-meter/statements/2016/apr/10/bernie-s/clinton-voted-virtually-every-trade-agreement-kill/,
