line_number,speaker,sentence,politifact_statement,verified_claim,verified_claim_article_title,truth_value,verified_claim_url,notes
508,,"IF YOU WANT TO TALK ABOUT RECEIPTS, NOT A HAMILTON TICKET, BUT 140 $5,000 OF TAXPAYER MONEY, WHY WANT YOUR RELEASE THOSE RECEIPTS?","DeSantis 145,000 in taxpayer-funded travel","Says Ron DeSantis has not revealed 145,000 in receipts of public taxpayer money.","-checking Gillum's claim about DeSantis 145,000 travel receipts  PolitiFact Florid",Half-True,https://www.politifact.com/florida/statements/2018/oct/24/andrew-gillum/fact-checking-gillums-claim-about-desantis-145000-/,
509,,WHERE IS THE EVIDENCE OF WHERE YOU WENT AND HOW OUR MONEY WAS SPENT TO BE A JUNKET FOR YOU TO GO TO NEW YORK AND HANG OUT WITH FAUX NEWS AND FRIENDS.,"DeSantis 145,000 in taxpayer-funded travel","Says Ron DeSantis has not revealed 145,000 in receipts of public taxpayer money.","-checking Gillum's claim about DeSantis 145,000 travel receipts  PolitiFact Florid",Half-True,https://www.politifact.com/florida/statements/2018/oct/24/andrew-gillum/fact-checking-gillums-claim-about-desantis-145000-/,
70,,EVERY ONE OF HIS STATEMENTS THAT MENTIONS MY NAME HAS BEEN DECLARED FALSE.,"Gillum ""Every single one of his ads that mentions my name has been declared false by PolitiFact.""","Says Andrew Gillum has a ""far left socialist platform.""","No, Florida's Andrew Gillum does not have a far left socialist platform  PolitiFact Florid",FALSE,https://www.politifact.com/florida/statements/2018/sep/06/ron-desantis/no-floridas-andrew-gillum-not-socialist/,
70,,EVERY ONE OF HIS STATEMENTS THAT MENTIONS MY NAME HAS BEEN DECLARED FALSE.,"Gillum ""Every single one of his ads that mentions my name has been declared false by PolitiFact.""","Says Andrew Gillum ""wants to abolish ICE and doesn't believe in doing any type of immigration enforcement.""",Ron DeSantis leaves out context in claim that Andrew Gillum wants to abolish ICE  PolitiFact Florid,Half-True,https://www.politifact.com/florida/statements/2018/sep/11/ron-desantis/ron-desantis-claims-andrew-gillum-wants-abolish-ic/,NOT SURE
70,,EVERY ONE OF HIS STATEMENTS THAT MENTIONS MY NAME HAS BEEN DECLARED FALSE.,"Gillum ""Every single one of his ads that mentions my name has been declared false by PolitiFact.""","Says Andrew Gillum has presided over ""the highest crime in Florida four years running.""",Ron DeSantis says Tallahassee Mayor Andrew Gillum presided over the highest crime in Florida  PolitiFact Florid,Mostly True,https://www.politifact.com/florida/statements/2018/oct/08/ron-desantis/ron-desantis-says-tallahassee-mayor-andrew-gillum-/,NOT SURE
70,,EVERY ONE OF HIS STATEMENTS THAT MENTIONS MY NAME HAS BEEN DECLARED FALSE.,"Gillum ""Every single one of his ads that mentions my name has been declared false by PolitiFact.""","Says Andrew Gillum is running ""from the FBI.""",No evidence that Andrew Gillum is running from FBI  PolitiFact Florid,FALSE,https://www.politifact.com/florida/statements/2018/oct/12/republican-party-florida/no-evidence-andrew-gillum-running-fbi/,NOT SURE
70,,EVERY ONE OF HIS STATEMENTS THAT MENTIONS MY NAME HAS BEEN DECLARED FALSE.,"Gillum ""Every single one of his ads that mentions my name has been declared false by PolitiFact.""","After Hurricane Hermine struck Tallahassee, ""utility companies lined up trucks to restore power. But as mayor, Andrew Gillum refused help from workers.""",Republican ad misleads in attack on Andrew Gillum about hurricane  PolitiFact Florid,Mostly False,https://www.politifact.com/florida/statements/2018/oct/10/republican-party-florida/republican-ad-misleads-attack-andrew-gillum-about-/,NOT SURE
585,,TALLAHASSEE UNDER THE GILLUM ADMINISTRATION HAD THE HIGHEST NUMBER OF MURDERS IN THE HISTORY OF THE CITY.,DeSantis Tallahassee had the highest murder rate ever last year.,"Says Andrew Gillum ""oversaw a 52 percent increase in murder.""",rida PAC levels scary and misleading claim about Tallahassee's murder rate under Andrew Gillum  PolitiFact Florid,Mostly False,https://www.politifact.com/florida/statements/2018/oct/19/florida-strong/florida-pac-video-wrongly-blames-andrew-gillum-tal/,
610,,"THE FACT OF THE MATTER IS AND ARE IS MAKING JOKES ABOUT TALLAHASSEE, WHEN THEY HAD THE HIGHEST NUMBER OF MURDERS IN THEIR HISTORY LAST YEAR.",DeSantis Tallahassee had the highest murder rate ever last year.,"Says Andrew Gillum ""oversaw a 52 percent increase in murder.""",rida PAC levels scary and misleading claim about Tallahassee's murder rate under Andrew Gillum  PolitiFact Florid,Mostly False,https://www.politifact.com/florida/statements/2018/oct/19/florida-strong/florida-pac-video-wrongly-blames-andrew-gillum-tal/,
703,,"WHEN I SUED THEM, THEY DRUG ME THROUGH COURT BECAUSE I HAD AN ORDINANCE IN THE CITY WHICH SAID IT YOU COULD NOT SHOOT GUNS IN CITY PARKS.",Gillum Says he was sued by NRA over ordinance prohibiting shooting of guns in city parks.,"Says he was sued by the NRA and the gun lobby ""all because in my city we refused to repeal an ordinance which said you couldnt shoot guns in city parks.""",-checking Andrew Gillum's claim that he was sued by NRA and gun lobby over Tallahassee ordinance  PolitiFact Florid,Mostly True,https://www.politifact.com/florida/statements/2018/sep/05/andrew-gillum/fact-checking-andrew-gillums-claim-he-was-sued-nra/,
