line_number,speaker,sentence,politifact_statement,verified_claim,verified_claim_article_title,truth_value,verified_claim_url,notes
35,TRUMP,"When I watch the deals being made, when I watch what's happening with some horrible things like Obamacare, where your health insurance and health care is going up by numbers that are astronomical, 68 percent, 59 percent, 71 percent, when I look at the Iran deal and how bad a deal it is for us, it's a one-sided transaction where we're giving back $150 billion to a terrorist state, really, the number one terror state, we've made them a strong country from really a very weak country just three years ago.","Trump ""I watch what's happening with some horrible things like Obamacare, where your health insurance and health care is going up by numbers that are astronomical, 68 percent, 59 percent, 71 percent.""","Because of Obamacare ""peoples premiums ...are going up 35, 45, 55 percent.""","Trump Obamacare health care premiums 'going up 35, 45, 55 percent'",Half-True,https://www.politifact.com/truth-o-meter/statements/2015/oct/25/donald-trump/trump-obamacare-health-care-premiums-going-35-45-5/,
37,TRUMP,"Last year, we had almost $800 billion trade deficit.","Trump ""Last year, we had almost 800 billion trade deficit. In other words, trading with other countries. We had an 800 billion deficit.""",Our trade deficit in goods reached nearly  800 billion last year alone.,Donald Trump says goods trade deficit was almost 800 billion in 2015,TRUE,https://www.politifact.com/truth-o-meter/statements/2016/jul/21/donald-trump/donald-trump-says-goods-trade-deficit-was-almost-8/,
39,TRUMP,We had an $800 billion deficit.,"Trump ""Last year, we had almost 800 billion trade deficit. In other words, trading with other countries. We had an 800 billion deficit.""",Our trade deficit in goods reached nearly  800 billion last year alone.,Donald Trump says goods trade deficit was almost 800 billion in 2015,TRUE,https://www.politifact.com/truth-o-meter/statements/2016/jul/21/donald-trump/donald-trump-says-goods-trade-deficit-was-almost-8/,
112,CLINTON,We have seen him insult women.,"Clinton ""Weve seen him insult women  immigrants, African-Americans, Latinos, people with disabilities, POWs, Muslims and so many others.""","Some of the things that Megyn Kelly said, I didnt say.",Donald Trump says 'he didn't say' the things about women that Megyn Kelly asked him about in debate,FALSE,https://www.politifact.com/truth-o-meter/statements/2015/aug/10/donald-trump/donald-trump-says-women-viciously-attacked-him-fir/,
117,CLINTON,"But it's not only women, and it's not only this video that raises questions about his fitness to be our president, because he has also targeted immigrants, African- Americans, Latinos, people with disabilities, POWs, Muslims, and so many others.","Clinton ""Weve seen him insult women  immigrants, African-Americans, Latinos, people with disabilities, POWs, Muslims and so many others.""","Some of the things that Megyn Kelly said, I didnt say.",Donald Trump says 'he didn't say' the things about women that Megyn Kelly asked him about in debate,FALSE,https://www.politifact.com/truth-o-meter/statements/2015/aug/10/donald-trump/donald-trump-says-women-viciously-attacked-him-fir/,
117,CLINTON,"But it's not only women, and it's not only this video that raises questions about his fitness to be our president, because he has also targeted immigrants, African- Americans, Latinos, people with disabilities, POWs, Muslims, and so many others.","Clinton ""Weve seen him insult women  immigrants, African-Americans, Latinos, people with disabilities, POWs, Muslims and so many others.""","Says Donald Trump, in his campaign announcement speech, ""also said, And many of them Mexicans are good people. You keep leaving that out of your quote.""",Mike Pence tidies up Donald Trump's quote about Mexicans as 'good people',Half-True,https://www.politifact.com/truth-o-meter/statements/2016/oct/05/mike-pence/mike-pence-tidies-donald-trumps-quote-about-mexica/,
117,CLINTON,"But it's not only women, and it's not only this video that raises questions about his fitness to be our president, because he has also targeted immigrants, African- Americans, Latinos, people with disabilities, POWs, Muslims, and so many others.","Clinton ""Weve seen him insult women  immigrants, African-Americans, Latinos, people with disabilities, POWs, Muslims and so many others.""","Says Donald Trump mocked ""someone with a disability.""",ro-Clinton Super PAC ad says Trump 'mocked' disabled reporter evidence supports claim  PolitiFact Colorad,TRUE,https://www.politifact.com/colorado/statements/2016/jun/13/priorities-usa-action/pro-clinton-super-pac-ad-trump-mocked-disabled-r/,
117,CLINTON,"But it's not only women, and it's not only this video that raises questions about his fitness to be our president, because he has also targeted immigrants, African- Americans, Latinos, people with disabilities, POWs, Muslims, and so many others.","Clinton ""Weve seen him insult women  immigrants, African-Americans, Latinos, people with disabilities, POWs, Muslims and so many others.""","Four times, I said, he John McCainis a hero, but you know ... people choose selective pieces.",Trump I called McCain a 'hero' four times,Mostly False,https://www.politifact.com/truth-o-meter/statements/2015/jul/19/donald-trump/trump-i-called-mccain-hero-four-times/,
130,TRUMP,"I heard them when they were running for the Senate in New York, where Hillary was going to bring back jobs to upstate New York and she failed.","Trump ""Hillary was going to bring back jobs to upstate New York and she failed.""","Says Hillary Clinton ""promised, running for the Senate years ago, 200,000 jobs for upstate New York. ... Not only didn't they come, but they lost so many jobs.""","Trump Clinton promised to add 200K jobs to upstate New York, but 'they lost so many jobs'",Mostly True,https://www.politifact.com/truth-o-meter/statements/2016/oct/07/donald-trump/trump-clinton-promised-add-200k-jobs-upstate-new-y/,
165,TRUMP,"Her client she represented got him off, and she's seen laughing on two separate occasions, laughing at the girl who was raped.","Trump Clinton represented a man who was accused of raping a 12-year-old girl and ""she's seen laughing on two separate occasions, laughing at the girl who was raped.""","Says after Hillary Clinton helped a man accused of raping a 12-year-old, ""she's seen laughing on two separate occasions, laughing at the girl who was raped.""",Donald Trump wrongly says Hillary Clinton laughed at a 12-year-old rape victim,FALSE,https://www.politifact.com/truth-o-meter/statements/2016/oct/10/donald-trump/trump-says-clinton-laughed-about-rape-case/,
190,TRUMP,"Well, you owe the president an apology, because as you know very well, your campaign, Sidney Blumenthal -- he's another real winner that you have -- and he's the one that got this started, along with your campaign manager, and they were on television just two weeks ago, she was, saying exactly that.","Trump ""You owe the president an apology, because as you know very well, your campaign, Sidney Blumenthal -- he's another real winner that you have -- and he's the one that got this started, along with your campaign manager, and they were on television just two weeks ago, she was, saying exactly that. So you really owe him an apology.""",Hillary Clinton and her campaign of 2008 startedthe birther controversy.,-checking Donald Trump's claim Hillary Clinton started Obama birther movemen,FALSE,https://www.politifact.com/truth-o-meter/statements/2016/sep/16/donald-trump/fact-checking-donald-trumps-claim-hillary-clinton-/,
